session_id,nb_events,nb_clicks,nb_page_views,nb_scrolls,nb_time_events,nb_mouse_activity,nb_form_focus,nb_product_filters,nb_unique_pages,total_time,max_scroll,screen_width,visited_products,visited_cart,has_interaction,cluster,segment
session_1770485436487_q8ekvqk3a,44,0,2,1,38,1,0,0,1,19170.0,100.0,1280,0,0,0,1,👀 Visiteur passif
session_1770485541664_9hkix3q3d,48,2,1,8,21,4,0,0,3,9139.0,100.0,1280,0,0,0,1,👀 Visiteur passif
session_1770486547213_ck0p6hfpr,335,15,6,19,231,13,3,0,5,505130.0,100.0,1280,1,1,1,0,🛒 Acheteur potentiel
session_1770558946003_yaxsbrgio,355,0,2,2,329,4,0,0,1,3969703.0,100.0,1280,0,0,0,1,👀 Visiteur passif
session_1770675912036_woqyj6je5,107,4,4,3,64,3,1,0,4,105510.0,57.0,1280,1,1,1,2,🛒 Acheteur potentiel
session_1770679558122_ddx65pm5t,260,11,6,8,182,4,5,3,4,406926.0,74.0,1280,1,1,1,2,🛒 Acheteur potentiel
session_1770713233877_m33e6jyrd,1094,16,5,18,994,7,10,2,5,6802783.0,100.0,1280,1,1,1,0,🛒 Acheteur potentiel
session_1770799926277_yz9i99whd,537,5,5,6,478,3,1,0,4,2308587.0,100.0,1280,1,1,1,2,🛒 Acheteur potentiel
